	T	ぴ	鳶飛魚躍	えんぴぎょやく
MISSING_CANDIDATE	飯	いい	20
	T	いい	こわ飯	こわいい
	T	いい	乾し飯	ほしいい
	T	いい	乾飯	ほしいい
	T	いい	姫飯	ひめいい
	T	いい	干し飯	ほしいい
MISSING_CANDIDATE	飯	ばん	4
	T	ばん	お飯菜	おばんさい
	T	ばん	お飯菜	おばんざい
	T	ばん	御飯菜	おばんさい
	T	ばん	御飯菜	おばんざい
MISSING_CANDIDATE	飯	ぱん	8
	T	ぱん	一宿一飯	いっしゅくいっぱん
	T	ぱん	一飯	いっぱん
	T	ぱん	仏飯	ぶっぱん
	T	ぱん	喫飯	きっぱん
	T	ぱん	噴飯	ふんぱん
MISSING_CANDIDATE	飯	まま	5
	T	まま	お飯事	おままごと
	T	まま	御飯事	おままごと
	T	まま	飯	まま
	T	まま	飯事	ままごと
	T	まま	飯事をする	ままごとをする
MISSING_CANDIDATE	飯	まんま	6
	T	まんま	お飯	おまんま
	T	まんま	お飯の食い上げ	おまんまのくいあげ
	T	まんま	御飯	おまんま
	T	まんま	御飯の食い上げ	おまんまのくいあげ
	T	まんま	猫飯	ねこまんま
MISSING_CANDIDATE	香	が	5
	T	が	柚香焼	ゆうがやき
	T	が	柚香焼き	ゆうがやき
	T	が	柚香菊	ゆうがぎく
	T	が	残り香	のこりが
	T	が	移り香	うつりが
MISSING_CANDIDATE	香	こ	4
	T	こ	お新香	おしんこ
	T	こ	御新香	おしんこ
	T	こ	新香	しんこ
	T	こ	沈香	じんこ
MISSING_CANDIDATE	鹿	かの	3
	T	かの	鹿子絞り	かのこしぼり
	T	かの	鹿屋体育大学	かのやたいいくだいがく
	T	かの	鹿肉	かのしし
MISSING_CANDIDATE	鹿	が	3
	T	が	牝鹿	めが
	T	が	緋鹿の子	ひがのこ
	T	が	雌鹿	めが
MISSING_CANDIDATE	鹿	しし	7
	T	しし	鹿	しし
	T	しし	鹿垣	ししがき
	T	しし	鹿威し	ししおどし
	T	しし	鹿狩	ししがり
	T	しし	鹿狩り	ししがり
